Year,Month,Primary_School,High_School,Associates_Degree,Professional_Degree,White,Black,Asian,Hispanic,Men,Women,California,Florida,Texas,NY,Cal_case,Flo_case,Tex_case,NY_case,US_case
2010,Jan,15.3,10.2,8.6,4.9,8.8,16.5,8.3,12.9,10.2,7.9,12.6,10.9,8.3,9,0,0,0,0,0
2011,Jan,14.3,9.5,8.1,4.3,8.1,15.8,6.8,12.3,9,7.9,12.3,10.6,8.2,8.4,0,0,0,0,0
2012,Jan,13,8.5,7.1,4.3,7.4,13.6,6.7,10.7,7.7,7.6,11.2,9.2,7.1,8.6,0,0,0,0,0
2013,Jan,12,8.1,6.9,3.8,7.1,13.7,6.4,9.7,7.5,7.2,9.7,8,6.5,8.3,0,0,0,0,0
2014,Jan,9.4,6.5,5.9,3.3,5.7,12.1,4.7,8.3,6.2,5.8,8.2,6.9,5.7,7,0,0,0,0,0
2015,Jan,8.3,5.4,5.2,2.8,4.9,10.3,4,6.7,5.3,5,6.8,5.9,4.6,5.7,0,0,0,0,0
2016,Jan,7.1,5.2,4.2,2.5,4.2,8.7,3.6,5.8,4.4,4.5,5.7,5.1,4.5,4.8,0,0,0,0,0
2017,Jan,7.4,5.2,3.8,2.5,4.2,7.5,3.7,5.8,4.3,4.4,5.2,4.7,4.8,4.7,0,0,0,0,0
2018,Jan,5.4,4.4,3.4,2.1,3.5,7.5,3,5,3.8,3.6,4.4,4,4.1,4.5,0,0,0,0,0
2019,Jan,5.7,3.7,3.4,2.4,3.5,6.8,3.1,4.8,3.7,3.6,4.3,3.5,3.7,3.9,0,0,0,0,0
2020,Jan,5.5,3.8,2.8,2,3.1,6,3,4.3,3.3,3.2,4.1,2.8,3.4,3.9,13,0,0,0,41
2021,Jan,9.1,7.1,6.2,4,5.7,9.2,6.6,8.6,6,6,8.8,6,6.7,8.6,92588471,47886722,65807240,37738018,733762462
2010,Feb,15.8,10.7,8.1,4.9,8.9,16.1,8.2,12.7,10.3,8,12.6,10.9,8.3,9,0,0,0,0,0
2011,Feb,14,9.7,7.9,4.3,8.1,15.5,6.7,11.8,8.9,7.9,12.2,10.5,8.2,8.3,0,0,0,0,0
2012,Feb,13.1,8.3,7.2,4.2,7.4,14,6.2,10.9,7.7,7.6,11,9.1,7,8.6,0,0,0,0,0
2013,Feb,11.3,7.9,6.5,3.9,6.8,13.8,6,9.7,7,7,9.5,8,6.6,8.2,0,0,0,0,0
2014,Feb,9.8,6.4,6,3.4,5.8,11.8,5.9,8.2,6.3,5.9,8.1,6.8,5.6,6.8,0,0,0,0,0
2015,Feb,8.2,5.4,5,2.7,4.7,10.1,4,6.8,5.2,4.9,6.7,5.8,4.5,5.6,0,0,0,0,0
2016,Feb,7,5.2,4.2,2.5,4.3,8.5,3.8,5.4,4.5,4.5,5.6,5,4.4,4.8,0,0,0,0,0
2017,Feb,7.7,4.9,4,2.4,4,7.9,3.4,5.5,4.3,4.2,5.1,4.6,4.7,4.6,0,0,0,0,0
2018,Feb,5.7,4.4,3.5,2.2,3.7,6.7,2.9,4.9,3.7,3.8,4.3,3.9,4,4.4,0,0,0,0,0
